account,total_seconds,total_hms
Baxter,6320.7,1:45:20
Bergstrom,310.8,0:05:10
Bob Johnson,114.2,0:01:54
Everett API,583.3,0:09:43
Harry Browns,662.5,0:11:02
Herb Connolly,1665.3,0:27:45
Hertrich,1698.8,0:28:18
Indigo Onboarding,369.1,0:06:09
Iverson Onboarding,1116.7,0:18:36
Jim Ellis Onboarding,423.5,0:07:03
Jim Keras Onboarding,84.6,0:01:24
Joyce Koons Onboarding,1769.1,0:29:29
Monaco,2075.8,0:34:35
Moses,1606.3,0:26:46
Stevens,1041.1,0:17:21
Stevens API,104.1,0:01:44
UVeye setup 2,285.1,0:04:45
bergstrom,163.3,0:02:43
https://app.hubspot.com/contacts/560770/record/0-5/47273694738/,212.6,0:03:32
